Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
October 31 2023,Alameda,CA,Passenger,4,1,5,152,157,3.18
July 31 2021,Ferry,WA,Truck,0,0,0,3647,3647,0.00
October 31 2019,Columbia,WA,Truck,0,0,0,1533,1533,0.00
April 30 2021,El Paso,TX,Passenger,3,0,3,401,404,0.74
August 31 2023,Charles,MD,Passenger,1,1,2,52,54,3.70
April 30 2017,Dallas,TX,Passenger,0,1,1,198,199,0.50
January 31 2022,Fairbanks North Star,AK,Passenger,0,1,1,80,81,1.23
September 30 2018,San Francisco,CA,Passenger,1,1,2,120,122,1.64
February 28 2022,Allegheny,PA,Passenger,2,1,3,66,69,4.35
March 31 2021,Penobscot,ME,Passenger,0,1,1,10,11,9.09
September 30 2022,Rock Island,IL,Passenger,0,1,1,14,15,6.67
August 31 2018,Mercer,NJ,Passenger,0,1,1,21,22,4.55
April 30 2021,Albemarle,VA,Passenger,1,0,1,23,24,4.17
November 30 2022,Marin,CA,Passenger,1,1,2,30,32,6.25
October 31 2019,Klickitat,WA,Truck,0,0,0,8309,8309,0.00
October 31 2018,Clark,WA,Truck,0,0,0,79567,79567,0.00
August 31 2019,Putnam,TN,Passenger,0,1,1,3,4,25.00
January 31 2021,Ray,MO,Passenger,0,1,1,1,2,50.00
February 28 2022,Providence,RI,Passenger,1,0,1,24,25,4.00
October 31 2020,Pend Oreille,WA,Truck,0,0,0,5717,5717,0.00
July 31 2018,Columbia,WA,Passenger,2,2,4,2419,2423,0.17
July 31 2018,Clark,WA,Truck,0,0,0,79229,79229,0.00
September 30 2019,Wahkiakum,WA,Truck,0,0,0,1760,1760,0.00
August 31 2019,Grays Harbor,WA,Passenger,88,85,173,48109,48282,0.36
May 31 2019,Jefferson,CO,Passenger,0,2,2,57,59,3.39
September 30 2023,District of Columbia,DC,Passenger,3,0,3,146,149,2.01
July 31 2019,Rogers,OK,Passenger,1,0,1,6,7,14.29
October 31 2023,Santa Cruz,CA,Passenger,1,0,1,21,22,4.55
January 31 2023,Asotin,WA,Truck,0,0,0,6668,6668,0.00
October 31 2018,King,WA,Passenger,15032,6221,21253,1375959,1397212,1.52
November 30 2020,Contra Costa,CA,Passenger,4,3,7,283,290,2.41
February 28 2023,Columbia,WA,Passenger,8,1,9,2420,2429,0.37
April 30 2020,Adams,WA,Passenger,7,7,14,12751,12765,0.11
June 30 2023,Prince George's,MD,Passenger,3,1,4,119,123,3.25
March 31 2019,Pacific,WA,Truck,0,0,0,7650,7650,0.00
February 28 2023,Franklin,WA,Passenger,275,128,403,61821,62224,0.65
October 31 2019,Lewis,WA,Truck,0,0,0,26043,26043,0.00
July 31 2017,San Juan,WA,Passenger,112,39,151,13560,13711,1.10
March 31 2023,Franklin,WA,Passenger,285,130,415,61866,62281,0.67
October 31 2018,Mecklenburg,NC,Passenger,1,0,1,81,82,1.22
February 28 2017,Yakima,WA,Truck,0,0,0,57221,57221,0.00
April 30 2022,Howard,MD,Passenger,0,2,2,67,69,2.90
March 31 2019,Hardin,KY,Passenger,0,1,1,98,99,1.01
January 31 2024,Montgomery,OH,Passenger,0,1,1,34,35,2.86
September 30 2021,Monterey,CA,Passenger,0,3,3,156,159,1.89
February 28 2022,Hamilton,IN,Passenger,2,0,2,25,27,7.41
July 31 2022,Oldham,KY,Passenger,0,1,1,4,5,20.00
September 30 2021,Benton,WA,Passenger,579,413,992,136184,137176,0.72
